id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,review_scores_value,calculated_host_listings_count
2118190,????????€?????????????????????????????????????????????3??????????????????,10800424,Leslie,within an hour,1,1,Yau Tsim Mong,22.29805,114.17523,Private room,2,800,1,0,,,363,,3
2118222,????????€?????????????????????????????????????????????3??????????????????,10800424,Leslie,within an hour,1,1,Yau Tsim Mong,22.29787,114.17558,Private room,2,850,1,0,,,365,,3
2118400,????????€?????????????????????????????????????????????3??????????????????,10800424,Leslie,within an hour,1,1,Yau Tsim Mong,22.29665,114.17358,Private room,3,950,1,0,,,365,,3
2180315,Deluxe Yau Ma Tei Studio,4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31533,114.1681,Private room,1,217,30,0,,,364,,384
2184084,Stylish+Chic @Midlevel Centre St,10713209,Eric,,,0,Central & Western,22.28143,114.14003,Entire home/apt,2,1962,30,20,2016/3/25,0.19,365,4.67,1
2186111,??????????????????3????????????????????????+???????€???????????????????????????????WiFi????????????24CCTV?????????????????????,10428889,Theshanghai,within a few hours,0.98,0,Yau Tsim Mong,22.31371,114.17006,Private room,2,297,30,0,,,324,,7
2217839,Room in Fortress Hill - F4c,4584648,Ivy,within a few hours,0.92,0.18,Eastern,22.28942,114.19454,Private room,2,180,30,1,2014/1/27,0.01,364,5,384
2269506,2BR in SOHO- STAUNTON ST. 100m from ESCALATOR #1,1306308,Will,within a day,0.83,,Central & Western,22.28174,114.15413,Entire home/apt,6,2112,4,132,2019/12/31,1.26,364,4.45,1
2298810,One bedroom with its own balcony.,11741853,Phil,within an hour,1,,Sai Kung,22.39501,114.26992,Private room,2,650,1,128,2021/8/22,1.22,107,4.71,1
2333604,Room Near MTR station HK Island,11920400,Jo,,,,Eastern,22.29182,114.20248,Private room,1,900,5,0,,,358,,1
2413558,ROOM IN North Point,4584648,Ivy,within a few hours,0.92,0.18,Eastern,22.28547,114.21686,Private room,1,180,30,0,,,365,,384
2432234,Happy Valley garden apartment -50m from Sanitorium,4286023,Jeff,within an hour,1,0,Wan Chai,22.27052,114.1844,Entire home/apt,2,1800,1,0,,,174,,1
2472517,2 BR Apt w/ Abundant Daylight.,12326516,Ck,within a few hours,0.67,0.39,Yau Tsim Mong,22.31338,114.1677,Entire home/apt,5,580,1,329,2022/8/26,3.18,232,4.77,1
2527002,Flat Share in Sham Shui Po,4584648,Ivy,within a few hours,0.92,0.18,Wong Tai Sin,22.33856,114.21525,Private room,1,180,30,1,2015/11/5,0.01,365,3,384
2532565,???????????????????????????,12970634,Sandy,a few days or more,0.2,1,Wan Chai,22.27757,114.18403,Private room,1,250,30,13,2017/12/26,0.13,172,4.45,2
2551147,Very Nice Room ... WanChai,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27798,114.18068,Private room,1,180,30,0,,,365,,384
2566050,1BR for 2ppl 3mins to MongKok MTR,12404807,Melody InHK,within a few hours,0.86,0.78,Yau Tsim Mong,22.31831,114.16962,Entire home/apt,2,283,1,203,2022/1/24,1.97,169,4.47,4
2601487,Nice Causeway bay studio,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27822,114.18253,Private room,2,217,30,0,,,365,,384
2602519,D:2BR for 6ppl 3mins to MongKok MTR,12404807,Melody InHK,within a few hours,0.86,0.78,Yau Tsim Mong,22.31661,114.17143,Entire home/apt,6,499,1,284,2022/7/2,2.75,272,4.49,4
2604819,3BR for 8ppl 3mins to MongKok MTR,12404807,Melody InHK,within a few hours,0.86,0.78,Yau Tsim Mong,22.31841,114.17118,Entire home/apt,8,1014,1,77,2019/11/1,0.76,163,4.57,4
